date,start_astronomical,start_nautical,start_civil,sunrise,zenith,sunset,stop_civil,stop_nautical,stop_astronomical
2022-01-01,06:05:48,06:44:29,07:25:05,08:02:30,12:10:40,16:18:49,16:56:15,17:36:51,18:15:32
2022-01-02,06:05:52,06:44:31,07:25:05,08:02:27,12:11:07,16:19:48,16:57:10,17:37:44,18:16:23
2022-01-03,06:05:53,06:44:31,07:25:01,08:02:20,12:11:34,16:20:49,16:58:07,17:38:38,18:17:15
2022-01-04,06:05:53,06:44:28,07:24:56,08:02:10,12:12:01,16:21:53,16:59:07,17:39:35,18:18:10
2022-01-05,06:05:50,06:44:23,07:24:47,08:01:57,12:12:28,16:22:59,17:00:09,17:40:33,18:19:06
2022-01-06,06:05:44,06:44:15,07:24:36,08:01:41,12:12:54,16:24:07,17:01:12,17:41:33,18:20:04
2022-01-07,06:05:36,06:44:05,07:24:22,08:01:23,12:13:20,16:25:17,17:02:18,17:42:35,18:21:03
2022-01-08,06:05:26,06:43:52,07:24:05,08:01:01,12:13:45,16:26:29,17:03:25,17:43:38,18:22:05
2022-01-09,06:05:13,06:43:37,07:23:46,08:00:36,12:14:10,16:27:44,17:04:34,17:44:44,18:23:07
2022-01-10,06:04:58,06:43:19,07:23:24,08:00:09,12:14:35,16:29:00,17:05:45,17:45:50,18:24:11
2022-01-11,06:04:40,06:42:58,07:22:59,07:59:38,12:14:58,16:30:18,17:06:58,17:46:59,18:25:17
2022-01-12,06:04:20,06:42:35,07:22:32,07:59:05,12:15:22,16:31:38,17:08:12,17:48:08,18:26:24
2022-01-13,06:03:58,06:42:10,07:22:02,07:58:29,12:15:45,16:33:00,17:09:27,17:49:19,18:27:32
2022-01-14,06:03:33,06:41:42,07:21:29,07:57:51,12:16:07,16:34:23,17:10:45,17:50:32,18:28:41
2022-01-15,06:03:05,06:41:12,07:20:54,07:57:09,12:16:29,16:35:48,17:12:03,17:51:46,18:29:52
2022-01-16,06:02:36,06:40:39,07:20:17,07:56:25,12:16:50,16:37:14,17:13:23,17:53:01,18:31:04
2022-01-17,06:02:03,06:40:04,07:19:36,07:55:38,12:17:10,16:38:42,17:14:44,17:54:17,18:32:17
2022-01-18,06:01:29,06:39:26,07:18:54,07:54:49,12:17:30,16:40:11,17:16:07,17:55:34,18:33:31
2022-01-19,06:00:52,06:38:46,07:18:08,07:53:57,12:17:49,16:41:42,17:17:30,17:56:53,18:34:47
2022-01-20,06:00:13,06:38:03,07:17:21,07:53:03,12:18:08,16:43:13,17:18:55,17:58:12,18:36:03
2022-01-21,05:59:31,06:37:19,07:16:31,07:52:06,12:18:26,16:44:46,17:20:21,17:59:33,18:37:20
2022-01-22,05:58:47,06:36:31,07:15:38,07:51:06,12:18:43,16:46:19,17:21:47,18:00:54,18:38:39
2022-01-23,05:58:01,06:35:42,07:14:43,07:50:05,12:18:59,16:47:54,17:23:15,18:02:17,18:39:58
2022-01-24,05:57:12,06:34:50,07:13:46,07:49:01,12:19:15,16:49:29,17:24:44,18:03:40,18:41:18
2022-01-25,05:56:21,06:33:56,07:12:47,07:47:54,12:19:30,16:51:05,17:26:13,18:05:04,18:42:39
2022-01-26,05:55:28,06:32:59,07:11:45,07:46:46,12:19:44,16:52:42,17:27:43,18:06:28,18:44:00
2022-01-27,05:54:32,06:32:01,07:10:41,07:45:35,12:19:57,16:54:20,17:29:14,18:07:54,18:45:23
2022-01-28,05:53:34,06:31:00,07:09:35,07:44:22,12:20:10,16:55:58,17:30:45,18:09:20,18:46:46
2022-01-29,05:52:34,06:29:57,07:08:27,07:43:07,12:20:22,16:57:37,17:32:17,18:10:47,18:48:10
2022-01-30,05:51:32,06:28:52,07:07:17,07:41:49,12:20:33,16:59:16,17:33:49,18:12:14,18:49:34
2022-01-31,05:50:27,06:27:44,07:06:04,07:40:30,12:20:43,17:00:56,17:35:22,18:13:42,18:50:59
2022-02-01,05:49:21,06:26:35,07:04:50,07:39:09,12:20:53,17:02:36,17:36:56,18:15:10,18:52:24
2022-02-02,05:48:12,06:25:23,07:03:33,07:37:46,12:21:01,17:04:17,17:38:29,18:16:39,18:53:51
2022-02-03,05:47:01,06:24:10,07:02:15,07:36:20,12:21:09,17:05:58,17:40:03,18:18:08,18:55:17
2022-02-04,05:45:48,06:22:54,07:00:54,07:34:53,12:21:16,17:07:39,17:41:38,18:19:38,18:56:44
2022-02-05,05:44:32,06:21:37,06:59:32,07:33:25,12:21:22,17:09:20,17:43:12,18:21:08,18:58:12
2022-02-06,05:43:15,06:20:17,06:58:08,07:31:54,12:21:28,17:11:01,17:44:47,18:22:38,18:59:40
2022-02-07,05:41:56,06:18:56,06:56:42,07:30:22,12:21:32,17:12:42,17:46:22,18:24:09,19:01:08
2022-02-08,05:40:34,06:17:32,06:55:14,07:28:48,12:21:36,17:14:24,17:47:58,18:25:39,19:02:37
2022-02-09,05:39:11,06:16:07,06:53:44,07:27:12,12:21:39,17:16:05,17:49:33,18:27:10,19:04:07
2022-02-10,05:37:45,06:14:40,06:52:13,07:25:35,12:21:41,17:17:47,17:51:08,18:28:42,19:05:36
2022-02-11,05:36:18,06:13:11,06:50:40,07:23:56,12:21:42,17:19:28,17:52:44,18:30:13,19:07:06
