Date	Sunrise	Sunset	Daylength
01 Jan	8:01 AM	4:18 PM	08:17:13 (+0:59)
02 Jan	8:01 AM	4:19 PM	08:18:17 (+1:04)
03 Jan	8:01 AM	4:20 PM	08:19:28 (+1:11)
04 Jan	8:01 AM	4:21 PM	08:20:43 (+1:15)
05 Jan	8:00 AM	4:22 PM	08:22:03 (+1:20)
06 Jan	8:00 AM	4:24 PM	08:23:29 (+1:26)
07 Jan	8:00 AM	4:25 PM	08:25:00 (+1:31)
08 Jan	7:59 AM	4:26 PM	08:26:35 (+1:35)
09 Jan	7:59 AM	4:27 PM	08:28:16 (+1:41)
10 Jan	7:59 AM	4:29 PM	08:30:02 (+1:46)
11 Jan	7:58 AM	4:30 PM	08:31:51 (+1:49)
12 Jan	7:57 AM	4:31 PM	08:33:46 (+1:55)
13 Jan	7:57 AM	4:33 PM	08:35:45 (+1:59)
14 Jan	7:56 AM	4:34 PM	08:37:48 (+2:03)
15 Jan	7:55 AM	4:35 PM	08:39:56 (+2:08)
16 Jan	7:55 AM	4:37 PM	08:42:08 (+2:12)
17 Jan	7:54 AM	4:38 PM	08:44:24 (+2:16)
18 Jan	7:53 AM	4:40 PM	08:46:43 (+2:19)
19 Jan	7:52 AM	4:41 PM	08:49:06 (+2:23)
20 Jan	7:51 AM	4:43 PM	08:51:34 (+2:28)
21 Jan	7:50 AM	4:44 PM	08:54:04 (+2:30)
22 Jan	7:49 AM	4:46 PM	08:56:38 (+2:34)
23 Jan	7:48 AM	4:48 PM	08:59:16 (+2:38)
24 Jan	7:47 AM	4:49 PM	09:01:56 (+2:40)
25 Jan	7:46 AM	4:51 PM	09:04:39 (+2:43)
26 Jan	7:45 AM	4:52 PM	09:07:26 (+2:47)
27 Jan	7:44 AM	4:54 PM	09:10:15 (+2:49)
28 Jan	7:42 AM	4:56 PM	09:13:08 (+2:53)
29 Jan	7:41 AM	4:57 PM	09:16:02 (+2:54)
30 Jan	7:40 AM	4:59 PM	09:19:00 (+2:58)
31 Jan	7:38 AM	5:00 PM	09:22:00 (+3:00)
01 Feb	7:37 AM	5:02 PM	09:25:01 (+3:01)
02 Feb	7:36 AM	5:04 PM	09:28:06 (+3:05)
03 Feb	7:34 AM	5:05 PM	09:31:12 (+3:06)
04 Feb	7:33 AM	5:07 PM	09:34:21 (+3:09)
05 Feb	7:31 AM	5:09 PM	09:37:31 (+3:10)
06 Feb	7:30 AM	5:10 PM	09:40:43 (+3:12)
07 Feb	7:28 AM	5:12 PM	09:43:57 (+3:14)
08 Feb	7:27 AM	5:14 PM	09:47:13 (+3:16)
09 Feb	7:25 AM	5:15 PM	09:50:30 (+3:17)
