id,misto,oblast,pop_2001,pop_2014,pop_2020
1,Київ,Київ,2 611 327,2 868 702,2 967 360
2,Харків,Харківська область,1 470 902,1 451 132,1 443 207
3,Одеса,Одеська область,1 029 049,1 017 022,1 017 699
4,Дніпро[3][4],Дніпропетровська область,1 080 846,993 094,990 724
5,Донецьк,Донецька область,1 016 194,949 825,908 456
6,Запоріжжя[5],Запорізька область,817 882,766 268,731 922
7,Львів,Львівська область,732 818,729 038,724 314
8,Кривий Ріг[6],Дніпропетровська область,709 014,652 137,619 278
9,Миколаїв,Миколаївська область,514 136,494 922,480 080
10,Маріуполь,Донецька область,492 176,458 533,436 569
11,Севастополь,Севастополь,342 451,344 853,403 893*
12,Луганськ,Луганська область,463 097,424 113,401 297
13,Вінниця,Вінницька область,384 840,372 116,370 707
14,Сімферополь,АР Крим,343 644,338 319,342 054*
15,Макіївка,Донецька область,389 589,351 820,341 362
16,Херсон,Херсонська область,328 360,297 593,286 958
17,Чернігів,Чернігівська область,304 994,295 670,286 899
18,Полтава,Полтавська область,317 998,295 950,286 649
19,Черкаси,Черкаська область,295 414,285 170,274 762
20,Хмельницький,Хмельницька область,253 994,266 095,273 713
21,Чернівці,Чернівецька область,240 621,262 129,267 060
22,Житомир,Житомирська область,284 236,270 922,264 318
23,Суми,Сумська область,293 141,268 874,262 119
24,Рівне,Рівненська область,248 813,249 912,246 003
25,Горлівка,Донецька область,292 250,254 416,242 224
26,Івано-Франківськ,Івано-Франківська область,218 359,227 030,237 686
27,Кам'янське[7],Дніпропетровська область,255 841,241 475,231 915
28,Кропивницький[8],Кіровоградська область,254 103,233 333,225 339
29,Тернопіль,Тернопільська область,227 755,217 110,223 462
30,Кременчук,Полтавська область,234 073,225 828,219 022
31,Луцьк,Волинська область,208 816,216 076,217 315
32,Біла Церква,Київська область,210 128,211 205,209 238
33,Краматорськ,Донецька область,181 025,162 811,152 120
34,Мелітополь,Запорізька область,160 657,156 889,151 948
35,Керч,АР Крим,157 007,144 626,151 548*
36,Ужгород,Закарпатська область,117 317,115 947,115 512
37,Бердянськ,Запорізька область,121 692,115 500,109 187
38,Нікополь,Дніпропетровська область,136 280,117 857,109 122
39,Слов'янськ,Донецька область,124 829,116 694,108 363
40,Бровари,Київська область,86 839,98 874,108 349
41,Євпаторія,АР Крим,105 915,107 040,108 248*
42,Алчевськ,Луганська область,119 193,110 474,106 941
43,Павлоград,Дніпропетровська область,118 816,109 739,104 225
44,Сєвєродонецьк[9],Луганська область,119 940,108 899,102 396
45,Кам'янець-Подільський,Хмельницька область,99 610,102 254,98 970
46,Лисичанськ,Луганська область,115 229,103 459,96 161
47,Мукачево[10],Закарпатська область,82 346,85 487,85 796
48,Конотоп,Сумська область,92 657,88 477,85 603
49,Умань,Черкаська область,88 735,86 621,82 603
50,Хрустальний[11],Луганська область,94 875,82 228,79 957
51,Ялта,АР Крим,81 654,78 200,79 056*
52,Олександрія,Кіровоградська область,93 357,82 636,78 366
53,Єнакієве,Донецька область,103 997,81 054,77 355
54,Дрогобич,Львівська область,79 119,76 866,75 396
55,Бердичів,Житомирська область,87 575,78 312,74 839
56,Шостка,Сумська область,87 130,78 505,74 125
57,Кадіївка[12],Луганська область,90 152,77 168,74 053
58,Бахмут[13],Донецька область,82 916,77 474,73 212
59,Ізмаїл,Одеська область,84 815,72 501,71 299
60,Новомосковськ,Дніпропетровська область,72 439,71 299,70 357
61,Костянтинівка,Донецька область,95 111,76 065,69 817
62,Ковель,Волинська область,66 401,69 032,68 240
63,Ніжин,Чернігівська область,76 625,72 869,68 007
64,Феодосія,АР Крим,74 669,69 040,68 001*
65,Сміла,Черкаська область,69 681,68 740,66 972
